step,sense_time,move_time,deposit_time,diffusion_time
159,3.886222839355469e-05,0.0,1.1920928955078125e-06,0.0014300346374511719
160,3.981590270996094e-05,0.0,2.1457672119140625e-06,0.0014791488647460938
161,3.886222839355469e-05,1.1920928955078125e-06,9.5367431640625e-07,0.001619100570678711
162,3.790855407714844e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016989707946777344
163,4.029273986816406e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015900135040283203
164,4.00543212890625e-05,9.5367431640625e-07,1.9073486328125e-06,0.0015912055969238281
165,4.100799560546875e-05,0.0,2.1457672119140625e-06,0.0017027854919433594
166,4.029273986816406e-05,0.0,2.1457672119140625e-06,0.0018029212951660156
167,4.38690185546875e-05,1.1920928955078125e-06,1.1920928955078125e-06,0.001683950424194336
168,3.910064697265625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0016088485717773438
169,4.1961669921875e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016148090362548828
170,4.124641418457031e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0017061233520507812
171,5.0067901611328125e-05,1.1920928955078125e-06,3.0994415283203125e-06,0.0016710758209228516
172,4.410743713378906e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0018072128295898438
173,4.38690185546875e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0016682147979736328
174,4.696846008300781e-05,9.5367431640625e-07,1.9073486328125e-06,0.0017139911651611328
175,3.981590270996094e-05,0.0,2.1457672119140625e-06,0.0015549659729003906
176,3.981590270996094e-05,9.5367431640625e-07,9.5367431640625e-07,0.0016629695892333984
177,4.315376281738281e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0017178058624267578
178,4.6253204345703125e-05,0.0,1.6689300537109375e-06,0.0018093585968017578
179,4.1961669921875e-05,0.0,1.9073486328125e-06,0.0018761157989501953
180,4.410743713378906e-05,0.0,1.9073486328125e-06,0.0014557838439941406
181,4.291534423828125e-05,9.5367431640625e-07,1.9073486328125e-06,0.0018200874328613281
182,5.602836608886719e-05,9.5367431640625e-07,2.86102294921875e-06,0.0018491744995117188
183,5.1021575927734375e-05,9.5367431640625e-07,1.9073486328125e-06,0.00185394287109375
184,4.291534423828125e-05,0.0,1.9073486328125e-06,0.0015940666198730469
185,3.6716461181640625e-05,0.0,2.1457672119140625e-06,0.0011899471282958984
186,4.291534423828125e-05,0.0,2.1457672119140625e-06,0.0010302066802978516
187,3.409385681152344e-05,0.0,2.1457672119140625e-06,0.0011069774627685547
188,3.6716461181640625e-05,0.0,2.1457672119140625e-06,0.0010380744934082031
189,3.0279159545898438e-05,9.5367431640625e-07,9.5367431640625e-07,0.0010569095611572266
190,3.1948089599609375e-05,0.0,1.9073486328125e-06,0.0010690689086914062
191,4.315376281738281e-05,9.5367431640625e-07,2.1457672119140625e-06,0.001009225845336914
192,3.910064697265625e-05,0.0,2.1457672119140625e-06,0.001116037368774414
193,3.981590270996094e-05,9.5367431640625e-07,2.1457672119140625e-06,0.0010008811950683594
194,4.982948303222656e-05,0.0,1.9073486328125e-06,0.0012021064758300781
195,3.695487976074219e-05,9.5367431640625e-07,7.152557373046875e-07,0.0011091232299804688
196,4.792213439941406e-05,9.5367431640625e-07,1.6689300537109375e-06,0.001172780990600586
197,4.00543212890625e-05,9.5367431640625e-07,9.5367431640625e-07,0.0009970664978027344
198,3.1948089599609375e-05,0.0,2.1457672119140625e-06,0.0010039806365966797
199,4.124641418457031e-05,0.0,1.6689300537109375e-06,0.0009891986846923828
200,5.0067901611328125e-05,0.0,1.6689300537109375e-06,0.0011241436004638672
201,3.409385681152344e-05,1.1920928955078125e-06,2.1457672119140625e-06,0.0011658668518066406
202,3.0994415283203125e-05,0.0,7.152557373046875e-07,0.0011131763458251953
